gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCR5,2.4460836263395546e-6,2.654459347890687,0.109,0.023,6.26197408342926e-4
LAG3,7.210316957785433e-5,1.9383309089378493,0.162,0.079,0.01845841141193071
OAS1,1.0437352529384733e-13,1.8162104178872993,0.386,0.185,2.6719622475224917e-11
GIMAP5,1.0549868224897962e-49,1.5775529421880674,0.823,0.479,2.700766265573878e-47
BCL6,1.657433201523524e-5,1.426263899571286,0.146,0.056,0.004243028995900221
CCR7,4.493376607686356e-22,1.2203116499977544,0.819,0.706,1.150304411567707e-19
GIMAP7,2.2945883302894894e-13,1.219489946289971,0.419,0.201,5.874146125541093e-11
TCF7,1.415214515653135e-8,1.1501111544407376,0.438,0.3,3.6229491600720254e-6
CHI3L2,3.051869563985318e-6,1.116789192581228,0.277,0.155,7.812786083802414e-4
ITGAE,2.721459408380794e-15,1.053021899136711,0.553,0.327,6.966936085454832e-13
DPP4,1.109323724324741e-18,-1.0204838396021496,0.423,0.644,2.839868734271337e-16
TSPAN32,4.662471788564145e-8,-1.2938431275776145,0.066,0.155,1.1935927778724212e-5
JUN,8.505870320496511e-22,-1.3618263349386575,0.336,0.564,2.177502802047107e-19
CD69,9.90834019665127e-31,-1.4731519874882042,0.705,0.851,2.5365350903427252e-28
DUSP4,4.0297531266652375e-37,-1.5073287269060485,0.384,0.703,1.0316168004263008e-34
CXCR4,6.330742868745601e-100,-1.5643802212765743,0.926,0.99,1.6206701743988738e-97
ITGAM,1.5286135153141177e-9,-1.5654684844451134,0.075,0.178,3.9132505992041413e-7
CTLA4,1.4342626296547794e-43,-1.65102017355062,0.355,0.7,3.6717123319162353e-41
B3GAT1,1.4102629008480444e-7,-1.6785542738622787,0.029,0.089,3.6102730261709936e-5
DUSP1,1.5999037907639087e-66,-2.2720900516606317,0.361,0.772,4.095753704355606e-64
FOSB,2.780852571224995e-38,-4.1244684911775025,0.084,0.327,7.118982582335987e-36
