gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
OAS1,1.9615922550216984e-12,1.7422973637397414,0.221,0.099,5.021676172855548e-10
PDCD1,3.824991174426766e-5,1.545536888932332,0.07,0.026,0.009791977406532522
CD274,4.544987073683106e-9,1.5003902050831042,0.137,0.051,1.1635166908628752e-6
TCF7,1.408717573848787e-19,1.4232291783431283,0.345,0.157,3.606316989052895e-17
TNFSF10,1.0853857652782233e-37,1.3818566361038793,0.681,0.432,2.7785875591122517e-35
CD300A,2.8146108567396195e-10,1.2132969193344239,0.238,0.122,7.205403793253426e-8
GIMAP5,6.710925924319053e-53,1.179282028400132,0.811,0.552,1.7179970366256775e-50
CCR2,1.5036949464524583e-5,1.1728979737114362,0.252,0.176,0.0038494590629182934
CCR5,1.5227391130459585e-8,1.1655058394814017,0.322,0.219,3.898212129397654e-6
LAIR2,2.9555933532991854e-7,1.1138546066572645,0.176,0.091,7.566318984445915e-5
GIMAP2,1.0060559164759355e-34,1.0501718247059713,0.702,0.445,2.575503146178395e-32
CXCR5,1.5025352154905679e-5,1.0363247516049128,0.13,0.066,0.003846490151655854
CXCR4,1.5767886809692278e-86,-1.0532236442195888,0.921,0.991,4.0365790232812233e-84
IRF4,2.9857996216424043e-12,-1.0639261430478346,0.305,0.438,7.643647031404555e-10
TSPAN32,5.045446213359184e-9,-1.0843304356138659,0.089,0.185,1.2916342306199512e-6
NAMPT,2.3558399344997567e-17,-1.1429632158972347,0.249,0.429,6.030950232319377e-15
S1PR1,7.415250552571108e-36,-1.180307813993729,0.436,0.685,1.8983041414582036e-33
CTLA4,6.654203714770477e-30,-1.2490907689509716,0.359,0.598,1.703476150981242e-27
ITGAM,5.31555946352549e-12,-1.610468135070214,0.072,0.179,1.3607832226625254e-9
DUSP4,3.020307447269185e-58,-1.6300418914173325,0.416,0.719,7.731987065009114e-56
B3GAT1,3.8292071503033e-8,-1.795500028902735,0.03,0.092,9.802770304776447e-6
FOSB,1.130535225111073e-12,-2.821619089866617,0.082,0.195,2.894170176284347e-10
