gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CCR4,1.7509360643583364e-5,2.4627128654559405,0.15,0.021,0.004482396324757341
IL7R,7.270896870312885e-11,2.417574590182247,0.421,0.164,1.8613495988000986e-8
GIMAP7,2.6910078131553824e-5,2.3436601938121773,0.155,0.027,0.006888980001677779
CXCR6,9.601894606719723e-5,2.1539102140136146,0.196,0.068,0.02458085019320249
OAS1,1.562202719823639e-7,2.096055828547989,0.301,0.103,3.999238962748516e-5
FASLG,4.4918658023990884e-7,2.0429061220292244,0.244,0.062,1.1499176454141666e-4
GIMAP2,2.2313518693014068e-21,1.9396609659857815,0.617,0.205,5.712260785411601e-19
GIMAP5,2.953292047797475e-15,1.8100655693515877,0.529,0.199,7.560427642361536e-13
SPOCK2,1.227016591632332e-12,1.5821618761484948,0.581,0.288,3.14116247457877e-10
CCR2,8.068686159637693e-10,1.4615220316773183,0.452,0.192,2.0655836568672494e-7
IL9R,9.937420148214474e-5,1.4222278406542164,0.209,0.075,0.025439795579429055
PIK3IP1,7.245274352125401e-24,1.4192988514080953,0.816,0.466,1.8547902341441027e-21
CBLB,3.3136322552400583e-5,1.4100690877544966,0.238,0.089,0.00848289857341455
TBX21,1.1493265422945953e-8,1.2627509488042883,0.452,0.212,2.942275948274164e-6
ENTPD1,3.116818368212731e-6,1.2296746336349513,0.392,0.212,7.979055022624592e-4
ITGAE,5.336426068481293e-8,1.1925186680492805,0.598,0.404,1.366125073531211e-5
CD27,2.4368035662934615e-6,1.183058338800214,0.377,0.178,6.238217129711261e-4
CD7,6.747959364017818e-19,1.1730846622670066,0.846,0.596,1.7274775971885614e-16
FYN,5.025780276122877e-21,1.0283332205302682,0.905,0.664,1.2865997506874565e-18
STAT5A,1.5395583577150257e-4,1.000898595507649,0.305,0.158,0.03941269395750466
TRAT1,3.6470798032116685e-7,-1.019421388871947,0.407,0.541,9.336524296221871e-5
JUN,1.2612232815916902e-5,-1.0201191857614338,0.255,0.404,0.003228731600874727
GZMA,1.691631771090457e-19,-1.0279180384704798,0.864,0.904,4.33057733399157e-17
NCR3,9.174555445427025e-7,-1.0376899021695989,0.229,0.397,2.3486861940293183e-4
TYMS,8.823646751461673e-14,-1.064109783248226,0.384,0.685,2.2588535683741882e-11
CXCR4,9.442817876331699e-27,-1.1547206254512796,0.85,0.938,2.417361376340915e-24
NAMPT,1.1279739996026905e-6,-1.2270383946859482,0.204,0.363,2.8876134389828876e-4
ICOS,1.6559914658055512e-8,-1.2495384570087436,0.221,0.411,4.239338152462211e-6
HLA-DQB1,2.661136953422363e-5,-1.3136593937427035,0.128,0.247,0.00681251060076125
DPP4,2.287227049969543e-11,-1.5294689299405937,0.212,0.425,5.85530124792203e-9
PYCR1,8.867705744128514e-7,-1.556713417068551,0.036,0.123,2.2701326704968995e-4
CTLA4,1.8592946426170258e-14,-1.6245429745685773,0.222,0.479,4.759794285099586e-12
JUNB,4.672797139220264e-15,-1.6472452634501176,0.281,0.541,1.1962360676403876e-12
IFNG,2.085197428225995e-12,-1.7262795563127629,0.343,0.562,5.338105416258547e-10
CD69,1.0111374055173147e-32,-2.2892367839726813,0.505,0.822,2.5885117581243257e-30
CCL4,8.717011895301997e-20,-2.3288820186706625,0.639,0.808,2.2315550451973112e-17
TNF,2.024219496229148e-27,-2.7173304360769714,0.151,0.486,5.182001910346619e-25
DUSP1,3.1881826109869094e-35,-3.0687250722671235,0.163,0.548,8.161747484126488e-33
CCL3,7.247101025407331e-29,-3.2590071671029635,0.288,0.651,1.8552578625042768e-26
EGR1,4.474023986898662e-50,-4.645531537930903,0.045,0.37,1.1453501406460575e-47
FOSB,2.44052628576437e-67,-6.157152305646372,0.036,0.397,6.247747291556787e-65
