gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
OAS1,4.896923086541085e-7,1.9857728655246905,0.149,0.038,1.2536123101545177e-4
IL7R,1.0499820267329441e-7,1.9484261664093714,0.268,0.121,2.687953988436337e-5
FASLG,2.178890502864805e-12,1.9001709978021502,0.249,0.057,5.5779596873339e-10
CX3CR1,9.75163851301362e-5,1.7225103475802324,0.106,0.032,0.024964194593314868
TBX21,1.308327090388999e-17,1.481218448519923,0.504,0.213,3.3493173513958375e-15
GIMAP2,1.0437913202872832e-16,1.4437825821272794,0.442,0.165,2.672105779935445e-14
GIMAP5,2.565529745148949e-13,1.414158780061536,0.39,0.152,6.56775614758131e-11
ENTPD1,1.114925462308212e-7,1.2317036693993382,0.39,0.235,2.8542091835090228e-5
TRIB2,8.148886739644082e-7,1.163615318410939,0.27,0.127,2.086115005348885e-4
CCR2,3.707795739358529e-6,1.141034022637324,0.34,0.206,9.491957092757834e-4
CXCR4,1.6362321263934164e-20,-1.0010445367039438,0.872,0.933,4.188754243567146e-18
JUNB,3.073632344352643e-10,-1.1005802102548583,0.264,0.46,7.868498801542766e-8
IRF4,3.2647419124912677e-12,-1.1683975316957187,0.383,0.575,8.357739295977645e-10
CD69,9.063521595471599e-12,-1.2272005648848254,0.465,0.641,2.3202615284407294e-9
TNF,1.4806500163820185e-8,-1.3256467658896316,0.242,0.4,3.7904640419379673e-6
JUN,4.788627062235494e-9,-1.4171593853467837,0.271,0.435,1.2258885279322864e-6
ICOS,6.52697045081641e-18,-1.490841409020697,0.264,0.524,1.6709044354090009e-15
CCL3,7.104003945144045e-11,-1.5560202101451335,0.383,0.559,1.8186250099568755e-8
NAMPT,2.392337601927899e-24,-1.705617151139055,0.216,0.533,6.124384260935422e-22
FOSL1,3.8118675561482766e-8,-1.9686515569728487,0.041,0.146,9.758380943739588e-6
CTLA4,1.1601406730623512e-28,-1.9997581793233925,0.229,0.575,2.969960123039619e-26
DUSP1,2.313310730647786e-25,-2.8348663214690237,0.087,0.371,5.922075470458333e-23
EGR1,1.2156535443336978e-6,-2.9691463932119273,0.056,0.152,3.1120730734942665e-4
FOSB,7.5299440153162e-23,-4.394515386313477,0.05,0.283,1.9276656679209473e-20
