gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SEMA7A,3.206088871813656e-17,4.40679274529464,0.786,0.089,8.20758751184296e-15
IER3,2.7842471777925145e-23,3.216317906926763,0.98,0.378,7.127672775148837e-21
LIF,1.4838743961353127e-19,3.105063589129106,0.965,0.422,3.7987184541064006e-17
ICAM1,7.828184813900741e-23,3.102302189456498,0.992,0.622,2.0040153123585897e-20
EGR3,5.887216008415391e-9,2.878321443411748,0.549,0.067,1.50712729815434e-6
CD9,1.6089609469787405e-15,2.7240971100500198,0.857,0.289,4.1189400242655756e-13
NT5E,6.543568376933323e-17,2.3812537562814007,0.931,0.311,1.6751535044949306e-14
HLA-DMA,1.845717670456056e-22,2.3488812756866486,0.975,0.622,4.7250372363675034e-20
CXCL8,6.291006608204629e-14,2.3302197949140333,0.91,0.378,1.610497691700385e-11
CCL2,2.755621048866289e-16,2.222447527046463,0.937,0.356,7.0543898850977e-14
HLA-DQB1,3.93316157213706e-20,2.2161236176475136,0.975,0.578,1.0068893624670873e-17
HLA-DQA1,6.373399607622399e-18,2.207993042275832,0.982,0.578,1.631590299551334e-15
PYCR1,1.8043034250828304e-10,2.1878151603382014,0.696,0.178,4.619016768212046e-8
HLA-DRB3,6.147716102938239e-17,2.1732491850348774,0.914,0.356,1.573815322352189e-14
PTTG2,1.0253018694150632e-4,2.0952862005495563,0.388,0.089,0.02624772785702562
LAP3,5.2266058676676786e-20,2.0893158312330353,0.982,0.644,1.3380111021229257e-17
HLA-DRA,8.395643035838446e-18,2.0874482871700386,0.992,0.756,2.1492846171746423e-15
TLR2,5.981736946535871e-6,2.0608321442204303,0.469,0.111,0.001531324658313183
TRIB2,8.099968995192581e-13,2.02106161552783,0.894,0.422,2.0735920627693008e-10
IL15RA,5.480382665207872e-13,1.9585697735038683,0.833,0.311,1.4029779622932152e-10
GLG1,1.3015012842338685e-5,1.9285494767382916,0.467,0.133,0.0033318432876387034
HLA-DPB1,5.814367722323826e-21,1.916316059504237,0.994,0.711,1.4884781369148994e-18
FOXO3,1.3165314248786113e-11,1.8687554667217476,0.841,0.356,3.370320447689245e-9
LGALS1,8.334767419174036e-19,1.793961320578255,1,1,2.1337004593085532e-16
STAT1,1.954843017294111e-16,1.7822166752611066,0.947,0.578,5.004398124272924e-14
CXCL10,1.2215873065042305e-12,1.7464634057051458,0.882,0.378,3.12726350465083e-10
FOSL1,1.4522403998484371e-11,1.6993864253726234,0.814,0.222,3.717735423611999e-9
HLA-DPA1,4.1109639614890084e-13,1.6431359483243821,0.975,0.756,1.0524067741411862e-10
LGALS3,1.297804637628329e-13,1.5986590755013954,0.912,0.489,3.322379872328522e-11
CXCL9,9.159778879350217e-6,1.5769341269652217,0.475,0.111,0.0023449033931136555
HLA-DMB,6.043750581808059e-8,1.5584528707026795,0.775,0.467,1.547200148942863e-5
ANXA5,4.750585004873923e-17,1.5487352619093047,0.984,0.733,1.2161497612477243e-14
IL32,1.3389041169675891e-14,-1.1790436969829665,0.994,1,3.427594539437028e-12
BTG1,1.5953540460569382e-12,-1.1915912466019738,0.963,1,4.084106357905762e-10
HMGB2,5.728485764898771e-7,-1.6179775579491191,0.306,0.667,1.4664923558140855e-4
IL7R,7.339885460384143e-5,-1.6951454184715793,0.173,0.4,0.018790106778583407
DUSP2,1.8817468808347814e-8,-1.7450706438032617,0.092,0.378,4.81727201493704e-6
GIMAP2,1.5264133680289583e-6,-1.788804525685824,0.133,0.4,3.907618222154133e-4
IL12RB1,9.731806803585082e-9,-2.024453043724539,0.114,0.422,2.491342541717781e-6
SLAMF1,1.6099023684297407e-7,-2.076235585827085,0.063,0.289,4.121350063180136e-5
IER5,4.755917271141119e-12,-2.0913049075447336,0.304,0.711,1.2175148214121264e-9
PRDM1,1.503255094585078e-9,-2.180572245641821,0.098,0.4,3.8483330421377995e-7
IRF4,7.777507855526339e-6,-2.2909962353354714,0.124,0.356,0.0019910420110147427
ITK,2.3052431234539715e-10,-2.3732173235842167,0.102,0.422,5.901422396042167e-8
CD247,6.66228860589166e-10,-2.3971473403829546,0.094,0.4,1.705545883108265e-7
CCR2,1.556294506865985e-5,-2.4244978285279104,0.027,0.156,0.0039841139375769215
GIMAP7,1.399983578012237e-4,-2.5025003405291835,0.025,0.133,0.035839579597113265
BCL11B,1.538576157752047e-11,-2.5284955490621277,0.071,0.378,3.93875496384524e-9
BCL2,1.565177100829707e-7,-2.554967760423319,0.047,0.244,4.00685337812405e-5
FYB,1.1894489010356495e-10,-2.5831188007374672,0.122,0.467,3.044989186651263e-8
TIGIT,1.3800977190525375e-4,-2.5849625007211565,0.025,0.133,0.03533050160774496
DUSP1,9.150161889279643e-11,-2.609415544445695,0.11,0.444,2.3424414436555886e-8
