gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LIF,3.357453234703997e-5,1.8973552334617163,0.579,0.434,0.008595080280842233
IER3,1.0217347686680847e-5,1.72986583207431,0.566,0.462,0.0026156410077902968
ICAM1,1.5443979395323513e-6,1.4019443177188529,0.723,0.587,3.9536587252028194e-4
CCL2,1.4643590973538276e-6,1.2760733664237067,0.521,0.287,3.7487592892257985e-4
CD9,1.5911425855369567e-5,1.259079672425813,0.479,0.287,0.004073325018974609
CXCL8,9.203732266477024e-7,1.2542237190079588,0.591,0.371,2.356155460218118e-4
FOSL1,8.46652573119112e-5,1.235846394388016,0.38,0.196,0.021674305871849268
FOXO3,2.407489626625427e-5,1.2339186747174753,0.45,0.259,0.006163173444161093
HLA-DRB3,4.1927641660626556e-5,1.2078412355685955,0.483,0.301,0.010733476265120398
HLA-DQA1,1.0529627563246772e-8,1.1346018724988556,0.789,0.601,2.6955846561911735e-6
IL15RA,1.0752048374294258e-5,1.0860334395274542,0.442,0.224,0.00275252438381933
HLA-DRA,1.4510991461985779e-8,1.0431402752727261,0.921,0.811,3.7148138142683594e-6
CD48,1.0517131080497092e-10,-1.018493379853536,0.579,0.86,2.6923855566072556e-8
BIN2,9.8239097941422992e-09,-1.0248033910005727,0.446,0.692,2.5149209073004286e-6
TRAT1,1.1050799580652956e-6,-1.1554137216077018,0.322,0.552,2.829004692647157e-4
LTB,1.4851538011486503e-6,-1.2119588554073712,0.24,0.462,3.8019937309405447e-4
MYC,1.6695532973218337e-6,-1.252806513159166,0.219,0.441,4.2740564411438943e-4
PRF1,3.263333781874025e-6,-1.3045609629172739,0.45,0.65,8.354134481597504e-4
IL4R,8.147721058878026e-9,-1.311164466099692,0.393,0.664,2.0858165910727747e-6
ARL4C,5.949900845076256e-13,-1.3935957770327334,0.488,0.755,1.5231746163395215e-10
CTLA4,1.2582159746022907e-10,-1.4090494294392464,0.153,0.455,3.221032894981864e-8
DPP4,6.555620372346495e-8,-1.566346822553809,0.19,0.434,1.6782388153207028e-5
S1PR1,1.0953655019672584e-4,-1.6188142424479448,0.145,0.294,0.028041356850361816
DUSP1,1.9108998652772452e-10,-1.649367409321707,0.145,0.434,4.891903655109748e-8
CXCR4,5.913167439587234e-22,-1.6596981072444386,0.674,0.951,1.5137708645343318e-19
CD40LG,1.9383714585624986e-4,-1.888274917441172,0.054,0.168,0.04962230933919996
FOSB,2.7915931652642067e-6,-2.1029463017135663,0.066,0.231,7.146478503076369e-4
IFNG,1.325309090561495e-4,-2.123564332792061,0.116,0.259,0.033927912718374274
