gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TLR2,2.339837547127539e-8,4.570526139203268,0.517,0,5.9899841206465e-6
PYCR1,5.4054347724986895e-14,3.680523142644041,0.758,0.061,1.3837913017596645e-11
LIF,6.650507747850613e-16,2.985419979528457,0.974,0.576,1.702529983449757e-13
HLA-DQB1,2.6631173765443608e-18,2.810731775513542,0.965,0.394,6.817580483953564e-16
SEMA7A,1.3716842348361086e-10,2.7379323764597165,0.774,0.182,3.511511641180438e-8
HLA-DRB3,2.1027868062741074e-16,2.7112889266564055,0.922,0.455,5.383134224061715e-14
AIM2,0.0019436206294799272,2.4639755437822455,0.272,0.03,0.4975668811468614
CCL20,2.346856658517408e-4,2.2674365497353586,0.419,0.091,0.06007953045804564
HLA-DMA,1.7671327301720015e-17,2.2075851559636126,0.976,0.636,4.523859789240324e-15
CCL2,5.234210893535323e-11,2.199364343569245,0.92,0.485,1.3399579887450427e-8
LAP3,1.0148475566636899e-16,2.1885587938500293,0.983,0.636,2.5980097450590462e-14
FOXO3,1.0983584619271797e-10,2.1812580922498994,0.817,0.212,2.81179766253358e-8
NT5E,3.6125416492212e-12,2.137559023761132,0.931,0.333,9.248106622006272e-10
TRIB2,7.477384426556987e-13,2.1293824490645235,0.911,0.333,1.9142104131985887e-10
CD9,1.595635828641373e-11,2.0201722852468147,0.902,0.455,4.084827721321915e-9
IER3,1.527558959659303e-13,1.9992460289911358,0.983,0.636,3.910550936727816e-11
HLA-DMB,6.508814956756219e-11,1.9843215419431497,0.879,0.424,1.666256628929592e-8
ICAM1,5.396766648467701e-13,1.9821451543201625,0.986,0.818,1.3815722620077315e-10
HLA-DRA,4.415755683592302e-14,1.8808650461668175,0.989,0.97,1.1304334549996293e-11
HLA-DQA1,1.4013926546509267e-13,1.8747720797642158,0.982,0.758,3.5875651959063724e-11
FOSL1,1.1229495168756709e-9,1.7993329211238596,0.825,0.303,2.8747507632017174e-7
EGR3,1.061791860978258e-5,1.7683763762769245,0.603,0.212,0.0027181871641043403
IL15RA,1.7607946624548787e-11,1.7549507103406956,0.86,0.242,4.507634335884489e-9
LGALS3,2.8511928573183074e-10,1.721422689528688,0.906,0.364,7.299053714734867e-8
STAT1,1.4430954447743888e-12,1.672300404721877,0.964,0.515,3.6943243386224354e-10
CXCL8,2.1345503286194675e-7,1.6281458976636962,0.898,0.485,5.464448841265837e-5
NAMPT,8.382099280814442e-8,1.5668343567879806,0.737,0.242,2.1458174158884973e-5
HLA-DPB1,3.205781092900663e-15,1.522778494445213,0.987,0.879,8.206799597825697e-13
HLA-DPA1,1.5219621346306822e-10,1.4493889955329147,0.979,0.909,3.8962230646545465e-8
LGALS1,3.509019053325989e-13,1.383154962123398,0.998,0.97,8.983088776514531e-11
FYN,7.97667297356918e-9,1.3814291066360238,0.956,0.606,2.04202828123371e-6
ANXA5,1.1254458554172367e-11,1.2077740011180493,0.99,0.939,2.881141389868126e-9
GLG1,9.12504263389928e-4,1.075905092103671,0.513,0.212,0.23360109142782157
CD44,3.186832969442729e-7,1.0371658906548151,0.976,0.818,8.158292401773386e-5
