p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.89994672302723,0.929,0.448,0,0,SELL
0,1.7433330142026,0.651,0.287,0,0,FOXP3
2.27055717558921e-148,1.70993731384282,0.135,0.042,5.81262636950838e-146,0,F5
9.39853740118541e-123,1.49046076827337,0.153,0.059,2.40602557470347e-120,0,IKZF2
4.90782484045333e-194,1.45842362220632,0.288,0.128,1.25640315915605e-191,0,ITGAM
3.16134500831099e-151,1.32383848768118,0.203,0.081,8.09304322127613e-149,0,IL6R
0,1.18563962043287,0.833,0.521,0,0,LTB
0,1.17821786654196,0.676,0.361,0,0,S1PR1
0,1.06573769262144,0.634,0.364,0,0,CTLA4
1.29965410911967e-217,1.06412458355695,0.414,0.209,3.32711451934637e-215,0,CCR4
6.71738676808078e-169,1.05526945022215,0.457,0.274,1.71965101262868e-166,0,OAS1
0,1.03275368768055,0.983,0.538,0,0,CD4
7.93858438958331e-75,0.986438910180995,0.202,0.11,2.03227760373333e-72,0,IL12RB2
7.12309268404307e-115,0.803897786100397,0.419,0.269,1.82351172711503e-112,0,TNF
3.31544776960559e-28,0.778434980814791,0.102,0.06,8.4875462901903e-26,0,TNFRSF4
0,0.769458570749647,0.84,0.582,0,0,CD27
1.05711545846998e-136,0.763835177090561,0.382,0.22,2.70621557368314e-134,0,LTA
7.8194926288429e-249,0.72824755449518,0.89,0.761,2.00179011298378e-246,0,TNFRSF1B
5.11005948891525e-81,0.722481216055268,0.301,0.183,1.3081752291623e-78,0,TNFRSF25
6.91024070046938e-178,0.697607094185003,0.645,0.447,1.76902161932016e-175,0,IL2RA
7.88283848634325e-174,0.696257883589767,0.679,0.49,2.01800665250387e-171,0,JUNB
7.83192500963107e-141,0.676166455704814,0.561,0.379,2.00497280246555e-138,0,ICOS
4.38874461357433e-57,0.636715037788455,0.227,0.138,1.12351862107503e-54,0,CHI3L2
2.603459853038e-232,0.590212212522992,0.785,0.534,6.66485722377729e-230,0,CCR7
2.47225445826097e-107,0.582716145021095,0.67,0.522,6.3289714131481e-105,0,LGALS3
6.50142614575006e-70,0.579947102181473,0.337,0.219,1.66436509331201e-67,0,TXK
0,0.560673517448723,0.975,0.873,0,0,SELPLG
1.86518134397169e-240,0.560596622838748,0.918,0.765,4.77486424056753e-238,0,ARL4C
2.81811148684869e-79,0.556817632384351,0.447,0.313,7.21436540633264e-77,0,DUSP1
9.14384799139166e-85,0.534053635358963,0.525,0.389,2.34082508579627e-82,0,MYC
1.48553227197162e-94,0.529482777854732,0.501,0.345,3.80296261624734e-92,0,C10orf54
7.73281506793473e-151,0.516348865041681,0.988,0.932,1.97960065739129e-148,0,TRBC2
4.28520665783618e-48,0.502264469185024,0.345,0.247,1.09701290440606e-45,0,GIMAP7
3.71773216218739e-232,0.501427094803498,0.961,0.782,9.51739433519972e-230,0,SPOCK2
2.85888361316778e-143,0.500835632190166,0.784,0.626,7.31874204970952e-141,0,CD247
6.75811094284817e-32,0.498857931722066,0.236,0.167,1.73007640136913e-29,0,FOXO1
6.73588714680019e-58,0.487510614611084,0.364,0.256,1.72438710958085e-55,0,DUSP2
1.02438220382285e-86,0.48503855292769,0.631,0.493,2.62241844178649e-84,0,CLEC2D
6.76760804668583e-44,0.464037041764427,0.435,0.338,1.73250765995157e-41,0,PASK
7.02728974765594e-148,0.464028453911499,0.723,0.523,1.79898617539992e-145,0,LEF1
7.89319545930122e-85,0.463293379541473,0.706,0.58,2.02065803758111e-82,0,GIMAP5
4.22837051834612e-15,0.458201252335615,0.14,0.102,1.08246285269661e-12,0,TSPAN32
1.05741522635588e-130,0.454425105797033,0.845,0.727,2.70698297947106e-128,0,BIN2
4.14195200499129e-70,0.449376119021384,0.532,0.401,1.06033971327777e-67,0,SLAMF1
1.40159765616923e-18,0.438296873133059,0.194,0.145,3.58808999979324e-16,0,NINJ2
1.22066635200255e-66,0.42988283808985,0.585,0.464,3.12490586112653e-64,0,IL12RB1
2.77380648132418e-47,0.428341143369009,0.423,0.317,7.1009445921899e-45,0,DPP4
4.30583137956681e-33,0.416880875035162,0.338,0.256,1.1022928331691e-30,0,FAS
1.51011942225624e-111,0.415148553808824,0.799,0.663,3.86590572097596e-109,0,ITK
2.39464203203175e-102,0.402186043349626,0.79,0.656,6.13028360200129e-100,0,STAT1
7.4880749224979e-262,1.49673962646303,0.355,0.141,1.91694718015946e-259,1,TCF7
6.16242336450194e-45,1.38931538951471,0.1,0.047,1.5775803813125e-42,1,CXCR5
0,1.12578133033672,0.781,0.53,0,1,IL7R
1.72557143725924e-81,0.919434142741659,0.236,0.125,4.41746287938365e-79,1,CD40LG
4.88349783405872e-255,0.905039214217368,0.779,0.545,1.25017544551903e-252,1,CCR7
1.15547343993266e-85,0.85180887546277,0.316,0.185,2.95801200622762e-83,1,TNFRSF25
1.22250779932883e-239,0.836712324677086,0.753,0.526,3.1296199662818e-237,1,LEF1
1.0651678539829e-44,0.778766938282305,0.225,0.142,2.72682970619623e-42,1,CHI3L2
4.50851491249495e-256,0.731701215176287,0.879,0.707,1.15417981759871e-253,1,CD5
2.14665955974271e-73,0.727332137762753,0.348,0.221,5.49544847294135e-71,1,TXK
1.56414119163362e-137,0.726700168984546,0.808,0.695,4.00420145058206e-135,1,IL4R
0,0.710884426050395,0.954,0.56,0,1,CD4
3.92765328635815e-104,0.697159891271859,0.514,0.349,1.00547924130769e-101,1,C10orf54
2.98258665430938e-156,0.685321504407352,0.745,0.579,7.63542183503203e-154,1,GIMAP5
7.31573935886595e-60,0.682651926672758,0.364,0.248,1.87282927586968e-57,1,GIMAP7
9.2939572305166e-60,0.677651010573949,0.441,0.32,2.37925305101225e-57,1,DUSP1
9.32980622583894e-79,0.676832342834435,0.455,0.316,2.38843039381477e-76,1,DPP4
1.82025002647575e-89,0.671296752714493,0.536,0.392,4.65984006777791e-87,1,MYC
1.26512508161184e-25,0.66832135883353,0.179,0.121,3.23872020892632e-23,1,CD300A
9.02735487647046e-137,0.666796322705887,0.672,0.487,2.31100284837644e-134,1,TRAT1
3.40946222331676e-270,0.664317359534984,0.942,0.818,8.72822329169091e-268,1,PIK3IP1
7.68789724655314e-286,0.603946535201194,0.97,0.872,1.9681016951176e-283,1,CD6
6.20175141754187e-47,0.591604256713393,0.432,0.332,1.58764836289072e-44,1,BCL2
7.57119756093469e-94,0.584464187493411,0.773,0.664,1.93822657559928e-91,1,STAT1
6.56142046331231e-39,0.581693524160774,0.435,0.342,1.67972363860795e-36,1,PASK
5.55349727700053e-237,0.572751684557748,0.969,0.866,1.42169530291214e-234,1,CD48
2.72645618024934e-24,0.54592258097753,0.209,0.147,6.97972782143831e-22,1,IL18R1
