gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FASLG,7.917727490347743e-5,2.7017447340970056,0.208,0.025,0.02026938237529022
CXCL10,0.0013071405101365704,2.1393644558546145,0.451,0.291,0.334627970594962
GIMAP7,0.0030659860710122544,1.8203892305956244,0.18,0.051,0.7848924341791371
CCL2,2.205484013310056e-4,1.7986786124596397,0.396,0.203,0.056460390740737436
OAS1,6.749474906445166e-5,1.7668397623188905,0.311,0.101,0.017278655760499625
CCR2,1.8454985257279171e-4,1.389754876265762,0.462,0.291,0.04724476225863468
ITGAE,1.0544188009757257e-5,1.1980662023705408,0.549,0.304,0.002699312130497858
HLA-DRA,7.0507686869117326e-9,1.1348143086093065,0.921,0.722,1.8049967838494035e-6
CCR5,7.411044677176057e-5,1.0821203046912677,0.579,0.418,0.018972274373570706
HLA-DMB,2.6938259819145446e-4,1.0454909391900584,0.532,0.329,0.06896194513701234
TBX21,0.0020343875826838442,1.0416965108196945,0.358,0.19,0.5208032211670641
LAP3,0.003171278857398442,1.0282856943973153,0.669,0.595,0.8118473874940012
HLA-DQA1,1.1371513381485232e-4,0.9754428561663517,0.76,0.582,0.029111074256602195
APOBEC3G,8.56737548800718e-9,0.9499288282552429,0.792,0.57,2.193248124929838e-6
HLA-DMA,2.510381961290508e-4,0.9054450005483972,0.738,0.557,0.064265778209037
CD9,0.002865373903287417,0.8955164774936855,0.426,0.278,0.7335357192415788
HLA-DPB1,1.9882833137855276e-7,0.8871265842783345,0.932,0.759,5.0900052832909506e-5
GIMAP2,4.212776700285147e-4,0.8599175947822617,0.516,0.316,0.10784708352729977
HLA-DPA1,2.4749261151577842e-6,0.8245581192928271,0.927,0.797,6.335810854803928e-4
CCL5,2.2130995785081813e-4,0.6530795032943209,0.859,0.785,0.05665534920980944
FYN,1.9918873502942695e-5,0.5933490836258625,0.872,0.747,0.00509923161675333
ITGA4,0.0025774735806974054,0.5450284870289264,0.681,0.544,0.6598332366585358
CD2,0.0010533411046671174,0.5400595721860566,0.828,0.924,0.26965532279478205
GAPDH,3.54030399950412e-4,0.34773753006877506,1,1,0.09063178238730547
HLA-A,0.0012998540172353377,-0.22239094869394993,0.998,1,0.33276262841224646
HLA-C,1.4319831739060884e-4,-0.29176826617577767,0.998,1,0.03665876925199586
ITGAL,0.002144877837720015,-0.3568080534802869,0.812,0.924,0.5490887264563239
LCK,7.468812596183138e-4,-0.3902207765622119,0.789,0.937,0.19120160246228834
CD3E,3.62125752053614e-5,-0.4254549683474722,0.813,0.975,0.009270419252572519
IL32,1.5310982140490514e-10,-0.5606401820095153,0.999,1,3.9196114279655715e-8
ITGB2,5.67684215716288e-6,-0.5611858471143203,0.759,0.899,0.0014532715922336973
BAX,2.961826978752349e-5,-0.5672180978428809,0.872,0.937,0.007582277065606014
BTG1,1.0107566542955319e-4,-0.5811250943752855,0.956,1,0.025875370349965617
TRBC2,2.3256988420225688e-5,-0.7197552052565404,0.874,0.962,0.005953789035577776
LAT,1.2226549173947806e-4,-0.7394822891627013,0.599,0.734,0.03129996588530638
TRAC,0.003512428671329703,-0.7616760267146305,0.907,0.911,0.899181739860404
CD5,3.656872688583987e-4,-0.8585173259958265,0.381,0.557,0.09361594082775007
CD48,9.153262592372902e-9,-0.9473481040438667,0.695,0.899,2.343235223647463e-6
NCR3,3.061664163583451e-4,-1.0074297940216954,0.302,0.481,0.07837860258773635
C10orf54,7.307508563525728e-4,-1.1056101879605988,0.206,0.354,0.18707221922625863
CCND2,9.455364920275284e-11,-1.1233848896885748,0.464,0.747,2.4205734195904728e-8
ARL4C,3.580848961812958e-10,-1.1619481721104108,0.571,0.797,9.166973342241173e-8
DPP4,6.934748633374032e-4,-1.2121492492492758,0.264,0.418,0.17752956501437522
JUN,5.0067143347525026e-5,-1.2399112796721896,0.226,0.418,0.012817188696966407
SELL,0.0014837924290182136,-1.2399112796721898,0.231,0.367,0.3798508618286627
TRAT1,5.80303353945027e-7,-1.2789417908461607,0.386,0.595,1.485576586099269e-4
CTLA4,2.2624031301200464e-6,-1.3705073378115822,0.198,0.418,5.791752013107319e-4
LTB,7.608746444191365e-8,-1.4020031907408237,0.315,0.57,1.9478390897129893e-5
JUNB,4.480755700417309e-15,-1.4275382828479612,0.318,0.722,1.147073459306831e-12
CXCR4,3.9974576672997005e-19,-1.5313405017714745,0.736,0.962,1.0233491628287233e-16
ICOS,3.0558524084922736e-7,-1.550686513620826,0.182,0.405,7.82298216574022e-5
B3GAT1,3.158275541480017e-5,-1.6201833607903566,0.055,0.177,0.008085185386188843
BCL2,4.759616264436413e-6,-1.6846961223450858,0.155,0.342,0.0012184617636957218
LAT2,0.002065184871746141,-1.7270985647068686,0.054,0.139,0.52868732716701206
TSPAN32,8.16693624277141e-4,-1.727098564706869,0.064,0.165,0.2090735678149481
DUSP2,8.980826144685599e-6,-1.7848602842705177,0.22,0.405,0.0022990914930395134
CD69,5.2248244240381864e-15,-2.054079887320517,0.5,0.81,1.3375550525537757e-12
IFNG,1.1048337137185253e-4,-2.28370251027431,0.115,0.253,0.02828374307119425
EGR1,1.4491411438428613e-11,-2.7089512179966095,0.076,0.304,3.709801328237725e-9
DUSP1,7.635083267593363e-22,-2.9350220308914,0.156,0.57,1.954581316503901e-19
CCR8,0.0031081476016717757,-3.164503877014168,0.006,0.038,0.7956857860279746
FOSB,8.68571977227167e-22,-4.727098564706869,0.055,0.354,2.2235442617015475e-19
