Id,IL-17A,IL-2,IL-4,IL-10,IL-6,TNF-α,Fas,FasL,IFN-γ,Granzyme A,Granzyme B,Perforin ,Granulysin
1,0.514,2015.06,5.14,5.02,1.98,13.1,9.36,19.432,68.78,3243.9,15576.07,137.54,163.21
2,7.069,2413.87,2.28,5.18,1.98,2.22,12.32,11.649,52.49,1888.42,5916.84,99.14,42.7
3,1.808,7023.24,13.8,9.09,4.06,22.61,37.2,53.538,613.13,19249.93,49200,1793.31,228.53
4,4.367,2101.69,2.96,7.44,2.27,8.26,8.92,25.201,96.03,5890.5,19724.22,257.02,82.33
5,0.066,436.51,3.35,0.46,1.98,3.08,5.09,22.232,65,4526.29,10577.29,193.88,48.5
6,5.243,4300,5.15,3.09,3.32,9.61,15.5,29.225,338.52,6264.15,15451.68,169.05,165.3
7,0.427,2258.67,6.99,9.95,2.67,7.77,18.42,30.084,247.3,7135.68,24379.98,881.45,256.57
8,0.078,4375.45,2.28,0.46,1.98,4.69,9.74,10.271,30.97,1767.65,8471.64,169.53,157.18
9,0.092,1845.52,7.66,3.8,1.98,8.48,12.03,31.628,102.66,7017.41,45308.43,727.85,780
10,0.094,2759.92,3.62,3.02,1.98,4.6,3.73,14.427,49.95,2032.94,15258.29,284.91,228.44
11,0.69,2941.31,4.06,4.02,1.98,11.92,7.5,15.59,93.74,2589.9,24101.83,148.59,143.92
12,10.859,3395.95,2.28,3.81,1.98,5.53,5.97,4.805,77.81,771.18,3213.28,95.32,30.5
13,0.821,4178.03,3.89,4.33,1.98,14.45,12.73,31.194,398.06,6650.49,49200,932.99,128.08
14,3.768,2972.68,6.04,7.93,2.56,12.19,7.72,17.603,163.87,2781.78,28027.62,212.55,81.76
15,0.075,614.91,3.2,2.42,1.98,6.2,6.09,16.69,71.03,3045.29,7406.94,227.71,56.35
16,0.144,2791.09,2.95,8.89,1.98,4.68,5.8,17.611,191.55,3450.46,17431.3,528.85,120.11
17,5.52,6834.56,3.7,4.19,5.81,10.22,11.59,23.357,286.76,3465.64,13877.59,156.94,136.47
18,0.054,3265.23,2.28,0.46,1.98,1.76,6.86,13.415,20.88,2509.69,6562.19,147.01,149.17
19,0.246,2918.77,5.8,12.21,2.39,9.45,22.24,30.035,285.49,6919.14,30723.48,769.22,215.56
20,4.494,6126.44,3.79,2.13,5.07,9.8,8.95,19.909,299.64,3328.84,9497.84,179.08,164.59
21,0.063,3146.65,2.92,1.68,1.98,7.5,6.02,7.05,29.29,1273.87,6900.28,122.84,143.77
22,0.106,1826.78,5.33,3.19,1.98,8.43,13.65,36.186,90.31,9813.72,40120.91,838.62,979.33
23,0.707,1479.02,3.65,1.22,1.98,5.28,4.81,17.318,51.73,3201.15,15840.83,162.73,163.67
24,5.259,1813.2,3.11,7.88,3.38,7.7,8.94,6.457,91.49,1017.03,3995.54,114.57,47.23
25,0.994,6484.05,6.82,4.75,1.98,16.47,21.82,49.223,556.05,16915.74,49200,1330.41,176.21
27,4.739,2236.74,4.28,5.66,2.31,7.66,11.35,24.686,120.77,5326.4,20484.54,249.17,88.16
28,0.324,1500.61,3.79,2.62,1.98,6.41,9.25,20.149,93.51,3066.03,10910.9,255.89,78.32
29,0.005,129.91,2.66,1.02,2.29,3.72,3.28,28.213,26.92,6369.54,1684.3,319.85,206.64
30,0.303,105.67,2.28,6.15,1.98,4.55,4.19,5.171,27.79,832.59,1052.2,124.09,18.7
31,0.002,105.67,2.28,0.46,1.98,0.03,0.23,21.291,20.88,5074.15,1316.04,242.45,181.62
32,0.002,483.53,2.28,0.46,1.98,0.03,4.41,30.983,20.88,10820.91,3917.85,84.29,255.86
33,0.002,105.67,2.28,0.46,1.98,1.29,1.51,17.121,20.88,3285.29,1097.28,298.02,149.12
34,0.002,105.67,2.28,1.89,1.98,4.49,4.37,9.551,20.88,1576.2,1162.53,208.48,43.62
35,0.002,504.32,3.33,0.46,1.98,0.37,8.42,30.963,20.88,15643.74,4585.16,92.88,264.9
36,0.124,105.67,2.28,0.78,2.59,7.86,4.82,15.437,87.81,1812.87,1581.73,257.25,348.04
37,0.002,536.52,2.61,0.46,1.98,0.03,2.04,21.268,20.88,5382.01,1594.02,77.48,128.5
