Variable,log2(FC),p-value,q-value,-log10(q-value),Mean
IL-2,3.8398922891455243,5.557857822407742e-07,7.225215169130065e-06,5.141149214955579,9.440963385090937
Granzyme B,3.1810115693813223,1.2910804282485116e-05,8.392022783615325e-05,4.0761333457409785,12.343239519800145
IFN-γ,2.2065485817524992,0.0007901891368639206,0.002238429275201966,2.6500566229132154,5.862454084910025
TNF-α,1.8836328116144028,0.0016648796248151544,0.003607239187099501,2.4428250597350205,2.285465737228771
Fas,1.5049419209715702,0.0008609343366161408,0.002238429275201966,2.6500566229132154,2.7903664309139407
IL-10,1.258890059193142,0.004538637971525463,0.00842889908997586,2.074229145466728,1.6233435978534807
IL-17A,1.0858274922314852,0.016867493737215467,0.027409677322975133,1.562096077108302,0.6067992652343892
Perforin ,0.8752335152134787,0.11137498523087398,0.160874978666818,0.7935114976781324,7.818589501314839
IL-4,0.6024818288766731,0.000480394841974152,0.002081710981887992,2.681579566700669,2.092394736619883
Granulysin,0.19037691766658504,0.7570776389268721,0.8201674421707781,0.086097474704982,7.177854183121629
IL-6,0.16756086525753378,0.20466693197151983,0.26606701156297574,0.5750089683057342,1.704809070719978
FasL,0.1480413494107271,0.7202000099696522,0.8201674421707781,0.086097474704982,4.303428487914317
Granzyme A,0.01888347215382602,0.9765204605570479,0.9765204605570479,0.01031865272028362,11.954900977100761
