,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD8A,38.64317842127501,1.9135297717777484,0.7693402866926031,2.487234589006148,0.012874047537822219,0.09011833276475553
CTLA4-TM,4.221010533042125,0.8461009187544634,0.46639038315152725,1.8141474381120988,0.06965502983953108,0.25700635163500585
CTLA4,6.527807877026916,0.8178086905023311,0.37716865890399776,2.1682837934593375,0.03013710073708676,0.15821977886970548
NOX2,1.3731710840586646,0.6590828415533542,0.8643965788081224,0.7624773833118751,0.44577513656640755,0.603953410831907
CD272,4.5496472421526715,0.6397020026849297,0.71977825155328,0.8887487240750245,0.3741381387702897,0.5434266754756535
IL2RA,22.33534692104827,0.6298557997540506,0.35212587811837187,1.7887234051634116,0.07365937166576315,0.25700635163500585
GZMA,42.22089803294265,0.5625062748838057,0.45537546226104564,1.2352582022993301,0.2167344242446818,0.4334688484893636
VTCN1,2.8041880213983124,0.18223286608196232,0.9040336328056804,0.20157752927443662,0.840247013647988,0.9336019679004413
ADORA2A,5.926923981757902,0.10388523135999404,0.5241752184534471,0.19818798696073853,0.8428979860871129,0.9336019679004413
PRF1,37.89244643115235,0.04989409689337895,0.5465192803702024,0.09129430321210551,0.9272587444652867,0.9524870409572941
IFNG,12.486571382104824,-0.024569480158189216,0.4123509851719943,-0.05958390071007379,0.9524870409572941,0.9524870409572941
IL7R,20.72550888518656,-0.04412573372849917,0.5854524981049002,-0.07537030565474298,0.9399200846446442,0.9524870409572941
TNFRSF18,7.3595664597956585,-0.055673588930517624,0.3819375441372231,-0.14576621174093096,0.8841059500736742,0.9521141000793414
ICOS,21.86790805899345,-0.07039546082593975,0.2886846764486703,-0.24384896937353182,0.8073477927510445,0.9336019679004413
CD4,23.345888120904952,-0.08190029193604385,0.4070647700957439,-0.2011971999364633,0.8405443808550472,0.9336019679004413
GZMH,13.4707454543091,-0.14819839977710852,0.7564956041555932,-0.19590120413525577,0.8446874947670658,0.9336019679004413
SELL,10.68560860253663,-0.2111813731613744,0.49529085373806836,-0.42637850379739983,0.6698320625174858,0.8525135341131638
TNF,27.80343083334651,-0.37710799722289357,0.35726845939542273,-1.0555311763625699,0.2911824587052181,0.48918653062476636
FASLG,3.0302494897906005,-0.3971993410026282,0.6455341976806962,-0.6153033292886783,0.538354419305273,0.7065901753381707
GZMB,56.747034990468116,-0.48526701393971455,0.35123777248024596,-1.3815911953689621,0.16709725894029104,0.41282852208777787
GZMM,7.408600125626015,-0.504552401443748,0.5958437392848708,-0.8467864444616129,0.3971141652511573,0.5559598313516202
CD27,44.8372287365288,-0.5436780426481028,0.4897583600272136,-1.1100944609049517,0.2669583238735793,0.48081787343858745
CD28,28.319706229537314,-0.5615979852995231,0.3676588962870321,-1.527497337807059,0.12663738870665206,0.33242314535496165
TNFRSF4,9.811306707593442,-0.5638831756297383,0.45320109151113636,-1.244222898381705,0.2134175384292546,0.4334688484893636
GZMK,5.966063362533739,-0.5715350574411572,0.6445408845204186,-0.8867320462788291,0.37522318068557026,0.5434266754756535
FOXP3,9.243316003055584,-0.5753076285574319,0.4447978463946089,-1.293413700674799,0.19586801408388177,0.4334688484893636
CD45R0,28.954908749838935,-0.60882965181571,0.6839673584043399,-0.8901443092782642,0.37338840349030145,0.5434266754756535
GNLY,30.36365401377447,-0.6517896284812612,0.5211284550662004,-1.2507273823657596,0.21103395666899338,0.4334688484893636
IL2RG,61.14893871515257,-0.681413900809513,0.36851492015650866,-1.8490809015822638,0.06444613168137003,0.25700635163500585
CD45RA,29.597555830885646,-0.6963148040494861,0.6836241381103481,-1.018563806091191,0.3084100945882472,0.49820092202716854
LAG3,13.356733105472008,-0.7454205593131541,0.42515155912962155,-1.7533054820243243,0.07954958502988276,0.25700635163500585
EOMES,8.569089817651903,-0.7771859949111728,0.7115901258313005,-1.09218209570185,0.2747530705363357,0.48081787343858745
VISTA,6.743326386111379,-0.8401339089220605,0.5115337579483705,-1.64238214168234,0.10051083353708845,0.30153250061126535
SIGLEC7,2.0467354079005076,-0.8575815184273125,0.7135222003570078,-1.2018988589257984,0.22940271660437095,0.4379506407901627
HAVCR2,7.004540170605136,-0.8631979560175399,0.4207031288187445,-2.0517982798018117,0.04018927056308575,0.18754992929440018
FAS,21.68749554096544,-1.083214433990276,0.39182057120671687,-2.7645675433891226,0.005699830550538243,0.04787857662452124
TNFSF18,5.002863653015172,-1.2386230958641837,0.8009468974801235,-1.5464484596432582,0.12199629840984873,0.33242314535496165
CD274,18.628667184640697,-1.444018350802433,0.5941175756223425,-2.4305262292397485,0.01507691473690849,0.09046148842145094
TNFRSF9,18.197205594572456,-2.5110368085118298,0.6105530577321737,-4.112724974040382,3.9101611094572755e-05,0.0005474225553240185
CD40,6.163655904022633,-2.6593001087194,0.8316867651643122,-3.197477968997157,0.0013863500083762098,0.014556675087950202
CD276,22.528353889525434,-2.7075943588170954,0.5896305598190846,-4.592018364258227,4.389797295290091e-06,9.218574320109191e-05
ADORA2B,16.70569336625843,-3.2706903730966267,0.7023567581113571,-5.511003244996095,3.5679414461493816e-08,1.4985354073827402e-06
