,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD40,20.228405102697025,-3.5893719218420456,0.37410145849710086,-10.663876954312814,1.5020261059476868e-26,6.308509644980284e-19
ADORA2B,18.471748875257155,-3.177062242266783,0.3760270143422906,-9.246841608836316,2.3122404818993736e-20,4.855705011988685e-17
CD274,54.030153765833816,-2.7280307672464824,0.34678170344960685,-8.155074904802301,3.489635302399658e-16,4.885489423359521e-15
TNFRSF9,33.433074843591,-2.1606659697650117,0.3260963359423592,-6.625851724218487,3.452516015898357e-11,3.625141816693275e-10
TNFSF18,5.147729230703903,-1.7848834141616474,0.6597652889007829,-2.7053308868906902,0.0068236382482929295,0.00000002047091474
CD276,32.32449486902215,-1.7110324433065605,0.30676577855698317,-5.577650973179618,2.4378817737492427e-08,2.0478206899493638e-07
GNLY,96.03544358307835,-1.225738157356658,0.27787820886084125,-4.41106253844646,1.0286460079419465e-05,7.200522055593625e-05
VTCN1,6.819925957302368,-0.8753645406248043,0.41521752786139404,-2.10820710082599,0.03501307934467456,0.09803662216508877
CD27,95.52437595763887,-0.7317995134087331,0.22453970707314153,-3.2591095933440264,0.0011176248534771774,0.0058675304807551815
EOMES,13.759102741355118,-0.527013906096054,0.3029475644165892,-1.7396208717207138,0.08192561186540348,0.2061897356323838
CD45R0,62.283492868957836,-0.3787104440153601,0.32963937684615924,-1.14886288051716,0.2506125258201435,0.5067491042711043
FAS,48.70757474353064,-0.2858526474035613,0.20975636183422014,-1.3627841601747626,0.17295054462823245,0.38231173023082965
HAVCR2,15.369713399553847,-0.27824811793051246,0.2827661207729672,-0.9840221210726932,0.32510463644586185,0.5633357743745291
TNFRSF4,18.624235460242677,-0.22119309749307353,0.33642094509148035,-0.6574890794416091,0.5108664905796036,0.7857980207354028
ADORA2A,12.859637927713926,-0.13678482827089164,0.3416870285197834,-0.40032198138587494,0.6889193797942137,0.8308461330790704
SIGLEC7,6.173384650566874,-0.13598937207954032,0.40956001869663144,-0.33203771333029,0.7398607817998976,0.8308461330790704
VISTA,14.573833561583532,-0.10629775803602677,0.3593386239633622,-0.2958150083161246,0.767371360711801,0.8308461330790704
FASLG,7.49654541430959,-0.08485984166398437,0.3549826061097412,-0.23905352037939107,0.8110640822914734,0.8308461330790704
CD45RA,61.13573858943456,-0.05470754967768153,0.3534030934613356,-0.15480212451413322,0.8769773162825537,0.8769773162825537
IL2RG,120.85774033656841,0.046341977141339134,0.18239470962287863,0.2540752263985964,0.7994374419661667,0.8308461330790704
LAG3,27.685281349516877,0.06380664705982839,0.2371889112196981,0.2690119311721406,0.787920501254355,0.8308461330790704
PRF1,75.10798225725304,0.07973350758736858,0.23084526024709942,0.3453980709936211,0.7297951271727832,0.8308461330790704
CD28,61.87058443437292,0.08170640000714711,0.31089157251333654,0.2628131709927329,0.792694583321077,0.8308461330790704
CD272,10.59873809788221,0.09325556465326511,0.3465108194536957,0.2691274252281374,0.7878316264695868,0.8308461330790704
CD4,73.69533145536825,0.09717358502128484,0.26997497375052876,0.35993552910233223,0.7188953468282373,0.8308461330790704
IL7R,65.96068190255286,0.11545547713463686,0.22654160214701144,0.5096435976457578,0.6103011741839789,0.8308461330790704
SELL,38.06825573405118,0.13113362137968204,0.28568662364241226,0.4590121151203045,0.6462254661072981,0.8308461330790704
TNFRSF18,18.14035898935809,0.18815963833171015,0.30900349185043613,0.6089239872499019,0.5425748238411114,0.7857980207354028
ICOS,45.479796446490255,0.22939976175896093,0.2284763170180257,1.0040417525675642,0.3153584890345661,0.5633357743745291
GZMB,252.54484616138475,0.23577954769497386,0.24472278415732515,0.9634556443399976,0.3353189133181721,0.5633357743745291
GZMH,32.95229531018467,0.2804473978282123,0.24553454561729995,1.1421912021509548,0.25337455213555216,0.5067491042711043
FOXP3,16.414376682454233,0.2970720461446894,0.30265357950417726,0.9815580130635434,0.32631764097083216,0.5633357743745291
NOX2,4.772438596701606,0.3075577037467334,0.4877998419870905,0.6304998019143944,0.528367632345842,0.7857980207354028
CTLA4-TM,12.250110969968956,0.34762298079187753,0.42095722882629627,0.8257916885311896,0.40892226970323375,0.6605667433667622
TNF,54.920883658282946,0.4499148547800104,0.30735001831224706,1.4638517259593167,0.14323446574110926,0.33421375339592163
GZMA,100.9848517469105,0.545796638500479,0.1865850259889117,2.925189926724958,0.003442460510329369,0.01112179549491027
GZMM,20.58215888868031,0.5983820487255328,0.34569246094144757,1.730966440795147,0.08345775013691725,0.2061897356323838
CD8A,94.67317516441787,0.6578894942370739,0.2175031632053223,3.0247352936933076,0.0024885082072878865,0.010451734470609124
IFNG,21.037504554099982,0.9050921741699548,0.30281666906110327,2.9889113336337587,0.00279973365514131,0.010689892137812275
IL2RA,80.46757058724624,1.0533579897809082,0.283119896420936,3.7205367870536388,0.00019879978010522848,0.0011927986806313708
CTLA4,23.38040247851221,1.1973533349028829,0.40461239846324437,2.959260120180554,0.003083786809789468,0.000107932538342631
GZMK,8.524441465941573,1.198775051966639,0.39110417220260474,3.0651042284090853,0.00217594152164005,0.000010154393767653
