,ADORA2A,ADORA2B,CD4,CD8A,CD27,CD28,CD40,CD45R0,CD45RA,CD272,CD274,CD276,CTLA4,CTLA4-TM,EOMES,FAS,FASLG,FOXP3,GNLY,GZMA,GZMB,GZMH,GZMK,GZMM,HAVCR2,ICOS,IFNG,IL2RA,IL2RG,IL7R,LAG3,NOX2,PRF1,SELL,SIGLEC7,TNF,TNFRSF4,TNFRSF9,TNFRSF18,TNFSF18,VISTA,VTCN1
Non-TD 1,10,34,79,52,103,63,38,82,59,14,37,49,14,8,15,52,5,25,128,82,80,29,5,17,14,45,16,42,131,59,22,5,56,37,5,44,12,45,20,3,18,6
Non-TD 2,4,10,5,10,18,10,4,6,9,4,22,13,3,3,2,10,1,7,15,29,61,13,4,1,3,7,7,12,20,4,11,1,13,2,1,9,5,13,3,4,11,1
Non-TD 3,5,13,13,10,34,25,7,21,7,4,8,15,2,1,3,13,1,8,10,16,37,7,5,3,8,13,10,12,28,8,10,1,19,8,2,20,6,17,6,7,6,1
Non-TD 4,6,25,19,12,18,3,5,41,9,1,10,19,1,0,3,28,0,6,2,2,15,6,2,13,3,10,2,6,53,22,6,1,1,1,1,7,6,24,4,8,2,0
Non-TD 5,4,38,52,22,168,83,0,78,115,1,26,90,17,7,5,49,9,6,127,87,144,13,1,17,14,45,24,18,106,2,12,0,94,40,7,46,15,38,25,10,20,7
Non-TD 6,2,5,17,33,32,25,8,19,11,1,4,14,3,1,0,19,1,2,20,37,30,7,0,1,5,18,7,9,25,4,12,0,8,3,0,22,10,3,5,0,1,0
Non-TD 7,1,16,4,14,16,26,6,1,27,1,18,29,1,1,14,3,4,3,5,5,32,10,5,0,1,11,4,5,31,9,8,0,45,1,2,15,7,5,0,0,1,4
Non-TD 8,2,11,2,15,17,8,0,0,34,1,15,11,1,0,5,5,3,9,58,30,24,0,9,4,3,5,12,11,45,11,3,0,2,12,2,25,5,38,2,4,6,0
Non-TD 9,1,18,16,23,45,13,6,21,0,1,9,11,4,4,2,25,0,6,4,7,34,1,1,3,16,12,8,11,37,2,18,1,9,10,0,20,4,1,3,3,4,0
Non-TD + Tumor 1,1,1,7,18,20,16,1,17,16,4,2,1,4,4,1,9,1,3,26,25,21,1,3,4,3,12,3,17,27,12,7,1,22,3,1,11,3,3,9,1,4,3
Non-TD + Tumor 2,16,5,61,185,41,54,3,61,74,9,17,19,32,12,17,43,11,26,156,193,332,83,13,20,24,50,66,69,133,58,28,5,155,22,1,91,16,12,24,5,19,1
Non-TD + Tumor 3,39,6,162,187,145,143,10,144,125,16,26,37,74,30,23,86,8,56,71,243,265,36,28,34,42,140,58,177,253,129,57,10,126,65,9,157,34,22,40,24,30,6
Non-TD + Tumor 4,8,0,5,21,0,8,0,0,12,3,10,7,6,3,0,10,0,4,17,7,17,19,7,1,6,22,0,21,62,17,10,0,19,1,0,21,0,0,1,2,1,0
Non-TD + Tumor 5,14,23,64,197,201,77,22,108,43,21,71,3,35,12,24,47,6,23,87,146,152,49,11,26,16,42,38,117,116,70,33,14,97,55,8,55,27,39,19,18,24,12
